CellID,DNA_6,ELANE,CD57,CD45,DNA_7,ELANE7,CD577,CD457,DNA_8,ELANE8,CD578,CD458,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,25230.556962025315,3274.2705696202534,2259.6930379746836,5203.6155063291135,14834.174050632912,1491.2800632911392,2898.121835443038,628.3607594936709,0.0,0.0,0.0,0.0,16.814873417721518,8.311708860759493,632.0,39.97465501291069,21.04184999925806,0.8502495693366212,0.9693251533742331,0.8753462603878116,-1.4774332717867313
2,21146.583333333332,3997.4166666666665,1648.9358974358975,3101.6346153846152,10188.160256410256,2915.7948717948716,84.46794871794872,580.4423076923077,0.0,0.0,0.0,0.0,113.53846153846153,5.602564102564102,156.0,16.101269987187315,13.097002894282731,0.5816848056087313,0.9512195121951219,0.8571428571428571,-0.8448238895583812
3,24057.460750853243,3514.1791808873722,2425.307167235495,5877.672354948805,15435.745733788395,4493.435153583618,114.33617747440273,685.1689419795222,0.0,0.0,0.0,0.0,138.8976109215017,8.100682593856655,586.0,37.996869640386,20.447638534078212,0.842855416086684,0.9654036243822076,0.881203007518797,1.4963281546720684
4,24979.620437956204,4639.462287104623,2372.294403892944,2890.111922141119,18176.458637469586,3190.824817518248,3343.7773722627735,858.9829683698297,41961.24939172749,2043.3260340632603,1226.206812652068,3434.602189781022,199.54501216545012,13.142335766423358,822.0,39.55610132541378,29.22335551569998,0.6739439252615982,0.7813688212927756,0.5591836734693878,1.0546920577854135
5,21295.442028985508,3393.086956521739,1186.7826086956522,2789.231884057971,11528.507246376812,1728.3115942028985,3295.963768115942,583.7608695652174,50401.76811594203,2214.586956521739,1281.7028985507247,2596.159420289855,216.9927536231884,4.318840579710145,138.0,16.295519352057173,11.131088159335425,0.7303467267933892,0.9452054794520548,0.8625,1.4833233008177045
6,8564.714285714286,4415.0,640.6263736263736,1396.5714285714287,7248.7692307692305,2565.846153846154,3097.868131868132,484.9230769230769,37962.35164835165,1972.4945054945056,1118.131868131868,2263.1428571428573,309.15384615384613,4.153846153846154,91.0,12.0,10.06958041350989,0.5439282932204214,0.9680851063829787,0.91,0.7853981633974483
7,18840.680244399184,7147.5397148676175,1195.9307535641549,2815.028513238289,13826.37881873727,4088.2403258655804,9820.160896130346,1018.6659877800407,46538.486761710796,2086.1690427698572,1071.3523421588595,2577.735234215886,284.6171079429735,14.65173116089613,491.0,27.530725601677023,23.525625788025977,0.519414300002404,0.9352380952380952,0.7553846153846154,0.7883120720839245
8,23343.770573566086,3890.007481296758,3806.4663341645887,8919.862842892768,20425.306733167083,2540.9201995012468,165.20199501246884,1067.14463840399,24687.31920199501,2246.5137157107233,1849.0872817955112,3689.4688279301745,522.4663341645885,15.226932668329177,401.0,27.368093959157807,19.50818453884094,0.7013596572095456,0.9435294117647058,0.7537593984962406,-1.3906844463630577
9,19961.8073089701,4341.6328903654485,3123.4933554817276,6924.606312292359,16582.267441860466,2886.9003322259136,174.9468438538206,1079.126245847176,23399.111295681065,1082.9916943521594,1106.4983388704318,2606.981727574751,170.9269102990033,15.00498338870432,602.0,35.11314461158759,22.452115346635583,0.7688560149567903,0.8931750741839762,0.6935483870967742,1.109073717278174
10,21629.563858695652,5791.885869565217,2843.4483695652175,7311.630434782609,17089.835597826088,4197.913043478261,5095.578804347826,1204.0095108695652,50115.641304347824,2281.040760869565,935.5842391304348,2256.1385869565215,235.7445652173913,17.55298913043478,736.0,33.397427722390795,28.81049607765109,0.505790850546108,0.9211514392991239,0.7434343434343434,1.495702756088052
11,19257.254716981133,10011.834905660377,1356.7641509433963,1936.492924528302,13049.294811320755,4603.115566037736,5364.051886792453,869.1391509433962,35269.42924528302,2159.747641509434,1590.379716981132,3361.301886792453,340.5188679245283,16.64622641509434,424.0,25.350316554263323,21.940624386750056,0.5009140078885292,0.8814968814968815,0.6523076923076923,0.6289782549502078
12,17266.921333333332,5816.692,3620.021333333333,8551.794666666667,12343.421333333334,3364.684,767.5093333333333,1002.736,32147.109333333334,4752.876,1301.7173333333333,3069.336,465.42133333333334,17.081333333333333,750.0,32.406324177658966,30.015884068332685,0.37694564105033157,0.9202453987730062,0.7142857142857143,-1.2892755820697026
13,19167.433526011562,4072.7938342967245,3923.481695568401,8526.664739884392,15625.078998073217,3440.9980732177264,166.01734104046244,1084.8169556840078,14190.104046242775,2865.986512524085,2051.805394990366,3622.658959537572,549.9961464354528,17.726396917148364,519.0,29.117782934120843,23.05202913865312,0.6109331924542745,0.9301075268817204,0.7723214285714286,1.3589106934492308
14,19775.891503267972,3254.433986928105,3321.278431372549,5600.882352941177,18716.960784313724,3039.4771241830067,156.4300653594771,1047.3424836601307,20936.47450980392,2089.505882352941,2213.0313725490196,2875.1686274509802,577.481045751634,20.46535947712418,765.0,35.298213840453876,28.486403849757384,0.5905225836760634,0.9161676646706587,0.7285714285714285,0.43051976541280057
15,22311.841379310346,4090.558620689655,1274.1241379310345,2694.979310344828,18816.275862068964,14240.910344827586,4815.386206896552,1139.9655172413793,46769.46206896552,2022.8206896551724,1013.7103448275863,2427.0275862068966,214.4758620689655,25.49655172413793,145.0,18.691932818991457,11.343328458720336,0.7948111093016693,0.8682634730538922,0.6712962962962963,-1.3451064459741893
16,18429.750577367206,14911.170900692841,3803.323325635104,8714.900692840647,13994.240184757506,6967.17090069284,8224.690531177828,1195.3625866050809,51589.953810623556,4484.965357967668,1255.459584295612,4013.986143187067,262.6466512702078,21.31177829099307,433.0,25.632174927888713,22.183411799036094,0.5009922061971941,0.9232409381663113,0.8185255198487713,1.1205030775981832
17,19866.410029498526,8680.414454277286,1872.8613569321533,5920.771386430679,14467.27581120944,4304.030973451328,4959.401179941003,1035.759587020649,41625.28318584071,2294.660766961652,1962.9513274336284,3247.2625368731565,318.9587020648967,23.36135693215339,678.0,34.80384693025197,25.508235621188714,0.6803210209656008,0.887434554973822,0.6627565982404692,0.8759793751525284
